"placa","marca","modelo","anio","kilometraje","ultimo_mantenimiento","descripcion_sintomas","sensor_nivel_combustible","falla_real","subfalla_real","gravedad_real","solucion_real","es_correcto"
"RQG-822","Nissan","March","2023","31376","2024-02-21","El motor tiembla, pierde potencia y consume aceite de forma intermitente.","21.8","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
"PXK-333","Hyundai","Elantra","2019","103806","2024-06-12","El indicador de temperatura sube al máximo y sale vapor del capó. Se escucha raro.","49.5","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"EXZ-677","Toyota","Corolla","2020","60855","2024-05-16","El motor sube de RPM pero el auto apenas avanza. Empeora en frío.","66.5","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"EES-970","Hyundai","Tucson","2021","73376","2024-03-09","Olor a balata quemada al soltar el embrague en subidas. Se escucha raro.","25.7","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"VHQ-197","Kia","Seltos","2024","19020","2024-11-05","El motor cascabelea (misfire) y la marcha mínima es inestable. Huele mal.","68.4","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"QGP-681","Nissan","Frontier","2021","66588","2024-12-12","Golpe seco y fuerte al pasar de P a D o R. Empeora en frío.","88.6","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"EHR-199","Hyundai","Creta","2018","116081","2024-03-17","El auto da marcha pero no arranca, o se apaga en movimiento. Se escucha raro.","3.2","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"ZJG-274","Kia","Rio","2011","250852","2024-11-09","El volante vibra violentamente al frenar a alta velocidad. Se escucha raro.","94.6","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"VQG-269","Hyundai","Tucson","2011","299992","2024-02-22","La transmisión se queda pegada en una sola velocidad. Empeora en frío.","66.2","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"PQK-542","Nissan","Versa","2014","237039","2024-02-14","El volante vibra violentamente al frenar a alta velocidad. Huele mal.","25.9","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"PAU-980","Toyota","Yaris","2024","13910","2024-02-04","El motor cascabelea (misfire) y la marcha mínima es inestable. Se escucha raro.","38.1","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"NZT-402","Toyota","Hilux","2014","193039","2024-07-06","Chillido muy agudo y constante al pisar el freno suavemente. Se escucha raro.","50.2","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"WSV-235","Toyota","Hilux","2023","35916","2024-11-25","El motor cascabelea (misfire) y la marcha mínima es inestable. Empeora en frío.","32.3","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"PFH-556","Toyota","Hilux","2017","159088","2024-05-10","El volante vibra violentamente al frenar a alta velocidad. Huele mal.","18.4","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"TSD-523","Kia","Rio","2015","167290","2024-08-18","Se enciende testigo ABS pero el frenado mecánico funciona. Se escucha raro.","86.5","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"HDQ-256","Kia","Rio","2014","158741","2024-11-23","El auto da marcha pero no arranca, o se apaga en movimiento. Huele mal.","8.7","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"BDC-735","Toyota","RAV4","2021","71272","2024-10-24","La transmisión se queda pegada en una sola velocidad. Se escucha raro.","62.7","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"PGS-322","Toyota","Hilux","2021","65504","2024-02-25","El auto da marcha pero no arranca, o se apaga en movimiento. Empeora en frío.","8.8","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"UPY-914","Nissan","March","2012","171132","2024-08-15","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","11.8","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"FSG-976","Toyota","Yaris","2016","164475","2024-10-10","El auto da marcha pero no arranca, o se apaga en movimiento. Empeora en frío.","3.7","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"EWW-377","Hyundai","Creta","2016","181224","2024-08-17","Olor a aceite quemado y manchas frescas bajo el motor de forma intermitente.","25.1","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"DTR-270","Kia","Picanto","2021","77880","2024-05-20","Olor a plástico quemado y fusibles se queman constantemente. Huele mal.","16.8","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"NCE-457","Kia","Picanto","2017","101192","2024-05-12","La luz de batería se enciende y las luces principales parpadean de forma intermitente.","30.2","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"KVY-482","Hyundai","Accent","2018","144263","2024-12-29","Al girar la llave todo se apaga y solo suena un click","65.2","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"VET-277","Kia","Picanto","2016","134937","2024-11-28","El motor sube de RPM pero el auto apenas avanza de forma intermitente.","90.6","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"KME-465","Hyundai","Elantra","2020","80540","2024-12-19","Testigos del tablero se encienden y apagan aleatoriamente. Empeora en frío.","28.1","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"RVR-837","Nissan","Frontier","2011","245112","2024-02-24","Ruido metálico fuerte al encender y vibración excesiva de forma intermitente.","94.7","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"BAM-268","Kia","Picanto","2013","157932","2024-09-15","El auto da marcha pero no arranca, o se apaga en movimiento. Huele mal.","0.7","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"LWZ-612","Toyota","Hilux","2020","64045","2024-08-20","Marcha inestable, humo negro y alto consumo de gasolina. Se escucha raro.","12.6","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"MWS-136","Nissan","Frontier","2010","194130","2024-11-02","Olor a aceite quemado y manchas frescas bajo el motor","77.4","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"XHE-846","Toyota","Corolla","2020","104280","2024-08-06","Olor a balata quemada al soltar el embrague en subidas de forma intermitente.","48.0","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"CJB-550","Kia","Rio","2020","65650","2024-06-13","Olor a plástico quemado y fusibles se queman constantemente","87.9","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"SCC-918","Hyundai","Tucson","2016","192285","2024-03-08","Olor a aceite quemado y manchas frescas bajo el motor. Empeora en frío.","37.7","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"MYZ-812","Kia","Picanto","2012","266500","2024-11-06","La transmisión se queda pegada en una sola velocidad. Empeora en frío.","18.0","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"NLM-254","Hyundai","Elantra","2014","174427","2024-06-02","La luz de batería se enciende y las luces principales parpadean. Se escucha raro.","65.6","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"ZWK-431","Hyundai","Creta","2024","12455","2024-08-26","Testigos del tablero se encienden y apagan aleatoriamente. Huele mal.","65.9","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"FEP-559","Nissan","Sentra","2022","48078","2024-10-21","Se enciende testigo ABS pero el frenado mecánico funciona. Huele mal.","82.4","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"TQB-652","Kia","Sportage","2017","127096","2024-10-10","El auto da marcha pero no arranca, o se apaga en movimiento. Huele mal.","11.1","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"ACJ-601","Hyundai","Elantra","2010","191655","2024-06-09","El pedal se va hasta el fondo sin resistencia y no frena. Huele mal.","51.6","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"XVK-317","Nissan","Frontier","2016","122994","2024-08-06","El pedal se va hasta el fondo sin resistencia y no frena. Empeora en frío.","22.2","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"AKH-583","Nissan","Sentra","2012","250445","2024-02-10","Testigos del tablero se encienden y apagan aleatoriamente. Huele mal.","54.3","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"HYV-418","Hyundai","Creta","2018","100373","2024-05-12","El pedal se siente esponjoso y baja más de lo normal. Huele mal.","35.5","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"BND-417","Toyota","Yaris","2020","89455","2024-01-07","El motor sube de RPM pero el auto apenas avanza. Se escucha raro.","40.0","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"WTT-219","Nissan","March","2019","96870","2024-06-17","Batería está bien pero el motor no gira al dar arranque. Se escucha raro.","22.2","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"JJN-877","Hyundai","Creta","2012","218153","2024-10-29","La luz de batería se enciende y las luces principales parpadean. Huele mal.","49.7","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"SHK-530","Hyundai","Elantra","2010","323625","2024-05-06","Se enciende testigo ABS pero el frenado mecánico funciona","81.9","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"ZJM-854","Nissan","Sentra","2013","181884","2024-12-03","Marcha inestable, humo negro y alto consumo de gasolina","10.2","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"BAM-262","Toyota","Yaris","2014","187242","2024-03-05","Olor a plástico quemado y fusibles se queman constantemente. Se escucha raro.","72.0","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"MAA-757","Nissan","Frontier","2022","63891","2024-10-27","Olor a plástico quemado y fusibles se queman constantemente","53.5","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"RSZ-233","Hyundai","Creta","2010","259875","2024-08-29","Olor a plástico quemado y fusibles se queman constantemente. Huele mal.","71.3","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"WPK-806","Nissan","Versa","2020","98365","2024-03-20","El volante vibra violentamente al frenar a alta velocidad. Empeora en frío.","56.6","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"HZU-653","Hyundai","Accent","2018","112420","2024-11-22","Olor a balata quemada al soltar el embrague en subidas. Empeora en frío.","27.3","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"LHW-371","Hyundai","Tucson","2015","170340","2024-08-09","Al girar la llave todo se apaga y solo suena un click de forma intermitente.","27.1","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"VQB-146","Toyota","Yaris","2010","201090","2024-01-09","Olor a plástico quemado y fusibles se queman constantemente","41.6","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"NEY-122","Kia","Picanto","2014","135443","2024-03-08","El motor tiembla, pierde potencia y consume aceite. Huele mal.","78.2","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
"VPX-264","Toyota","Hilux","2021","86564","2024-03-06","La luz de batería se enciende y las luces principales parpadean. Empeora en frío.","24.6","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"FVM-818","Kia","Seltos","2020","102695","2024-11-03","El auto pierde fuerza al exigirle aceleración a fondo","7.5","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"XEM-736","Hyundai","Elantra","2016","196533","2024-04-13","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","87.7","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"FWU-220","Nissan","Sentra","2016","152991","2024-06-11","Olor a aceite quemado y manchas frescas bajo el motor de forma intermitente.","39.3","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"MJW-761","Nissan","Sentra","2018","108955","2024-05-15","Al girar la llave todo se apaga y solo suena un click de forma intermitente.","32.1","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"WFC-583","Kia","Seltos","2020","74520","2024-01-12","Batería está bien pero el motor no gira al dar arranque de forma intermitente.","87.3","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"EQT-673","Kia","Picanto","2019","84222","2024-12-20","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","12.6","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"PKV-132","Nissan","March","2013","162228","2024-03-07","Olor a plástico quemado y fusibles se queman constantemente. Huele mal.","29.0","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"APB-808","Kia","Seltos","2017","170560","2024-07-11","Se enciende testigo ABS pero el frenado mecánico funciona. Empeora en frío.","94.9","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"DMK-889","Nissan","Frontier","2015","211110","2024-05-09","Chillido muy agudo y constante al pisar el freno suavemente. Empeora en frío.","30.6","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"YKY-907","Toyota","Hilux","2018","139825","2024-11-15","El pedal se va hasta el fondo sin resistencia y no frena. Se escucha raro.","69.2","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"FRQ-405","Toyota","Hilux","2017","168688","2024-02-17","Al girar la llave todo se apaga y solo suena un click. Empeora en frío.","69.3","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"WYR-252","Toyota","Yaris","2015","150770","2024-02-05","Manchas rojas en el piso y cambios retardados. Empeora en frío.","67.7","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"TMP-752","Hyundai","Elantra","2023","32800","2024-03-26","Dificultad para arrancar justo después de cargar gasolina. Se escucha raro.","1.3","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"KRJ-555","Kia","Seltos","2010","293610","2024-04-17","Ruido metálico fuerte al encender y vibración excesiva. Se escucha raro.","87.9","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"VYG-781","Hyundai","Elantra","2020","87990","2024-01-17","El pedal se va hasta el fondo sin resistencia y no frena de forma intermitente.","73.3","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"VVP-935","Hyundai","Tucson","2013","168816","2024-04-22","Chillido muy agudo y constante al pisar el freno suavemente. Empeora en frío.","21.1","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"YPB-644","Hyundai","Creta","2019","130296","2024-08-19","Olor a balata quemada al soltar el embrague en subidas de forma intermitente.","44.9","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"XNJ-286","Toyota","Hilux","2017","158552","2024-05-12","Olor a aceite quemado y manchas frescas bajo el motor. Empeora en frío.","66.2","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"WJL-527","Hyundai","Accent","2022","56604","2024-04-05","Se enciende testigo ABS pero el frenado mecánico funciona. Huele mal.","22.7","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"RDK-237","Nissan","Sentra","2013","179736","2024-05-07","El indicador de temperatura sube al máximo y sale vapor del capó","15.9","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"NRU-104","Kia","Sportage","2015","216340","2024-06-21","El auto se acelera solo o las RPM bajan hasta apagarse","0.2","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"CEV-702","Kia","Picanto","2023","40182","2024-12-13","El indicador de temperatura sube al máximo y sale vapor del capó. Huele mal.","45.6","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"MQF-832","Nissan","Versa","2020","78430","2024-08-03","Olor a aceite quemado y manchas frescas bajo el motor. Huele mal.","59.7","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"FKX-273","Kia","Seltos","2022","61470","2024-07-03","Olor a plástico quemado y fusibles se queman constantemente","73.5","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"MWM-554","Hyundai","Accent","2024","17818","2024-06-14","El motor sube de RPM pero el auto apenas avanza. Huele mal.","26.5","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"YUU-214","Nissan","Frontier","2017","160176","2024-08-14","El motor sube de RPM pero el auto apenas avanza. Empeora en frío.","76.6","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"DLL-767","Hyundai","Elantra","2016","147420","2024-01-17","Chillido muy agudo y constante al pisar el freno suavemente de forma intermitente.","39.2","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"EBN-158","Hyundai","Elantra","2021","81388","2024-08-12","Testigos del tablero se encienden y apagan aleatoriamente de forma intermitente.","66.8","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"QZV-438","Hyundai","Tucson","2016","168282","2024-07-30","Marcha inestable, humo negro y alto consumo de gasolina","5.0","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"LAG-255","Hyundai","Tucson","2020","107445","2024-07-11","El indicador de temperatura sube al máximo y sale vapor del capó de forma intermitente.","37.7","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"UFW-172","Hyundai","Creta","2015","163590","2024-10-14","Golpe seco y fuerte al pasar de P a D o R. Empeora en frío.","25.4","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"YAP-621","Hyundai","Elantra","2013","216012","2024-03-23","El auto se acelera solo o las RPM bajan hasta apagarse. Se escucha raro.","9.5","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"YSV-745","Hyundai","Accent","2019","125010","2024-02-29","El pedal se siente esponjoso y baja más de lo normal. Empeora en frío.","47.2","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"AFZ-578","Kia","Rio","2022","56844","2024-10-15","La luz de batería se enciende y las luces principales parpadean. Huele mal.","86.3","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"WRV-698","Kia","Picanto","2022","41340","2024-10-17","Testigos del tablero se encienden y apagan aleatoriamente","21.9","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"VDU-289","Toyota","Hilux","2012","184769","2024-10-24","Olor a aceite quemado y manchas frescas bajo el motor. Huele mal.","86.3","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"PXJ-832","Hyundai","Creta","2022","39303","2024-10-25","El auto pierde fuerza al exigirle aceleración a fondo. Huele mal.","10.1","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"JND-745","Hyundai","Tucson","2021","53012","2024-11-29","Olor a plástico quemado y fusibles se queman constantemente de forma intermitente.","16.5","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"VKN-980","Toyota","RAV4","2022","43140","2024-02-08","El auto se acelera solo o las RPM bajan hasta apagarse. Huele mal.","8.6","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"GVF-416","Toyota","RAV4","2022","63501","2024-05-23","Olor a aceite quemado y manchas frescas bajo el motor","52.5","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"CBC-331","Toyota","RAV4","2014","173393","2024-11-02","El motor cascabelea (misfire) y la marcha mínima es inestable. Empeora en frío.","58.4","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"XYP-779","Toyota","Yaris","2013","236376","2024-03-13","Golpe seco y fuerte al pasar de P a D o R. Se escucha raro.","42.1","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"XKQ-259","Hyundai","Creta","2017","104208","2024-07-07","El motor cascabelea (misfire) y la marcha mínima es inestable","43.5","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"DHC-654","Hyundai","Tucson","2014","202664","2024-07-15","La luz de batería se enciende y las luces principales parpadean","53.9","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"ELP-911","Hyundai","Elantra","2010","202140","2024-03-05","Manchas rojas en el piso y cambios retardados. Huele mal.","41.5","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"QVN-607","Hyundai","Accent","2013","222696","2024-08-25","El pedal se siente esponjoso y baja más de lo normal. Huele mal.","30.0","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"PAM-725","Hyundai","Elantra","2023","30562","2024-02-02","Batería está bien pero el motor no gira al dar arranque. Empeora en frío.","31.5","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"WSZ-859","Toyota","Yaris","2022","47154","2024-06-03","La luz de batería se enciende y las luces principales parpadean de forma intermitente.","51.3","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"BUF-967","Hyundai","Tucson","2011","280448","2024-06-05","La luz de batería se enciende y las luces principales parpadean. Huele mal.","50.5","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"KNX-331","Kia","Rio","2012","172744","2024-12-16","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","46.6","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"RPH-112","Toyota","Corolla","2019","124656","2024-07-08","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","2.5","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"ZVH-709","Hyundai","Creta","2023","38362","2024-08-22","Olor a plástico quemado y fusibles se queman constantemente. Huele mal.","49.7","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"QSQ-250","Nissan","Frontier","2017","109984","2024-05-26","La transmisión se queda pegada en una sola velocidad. Huele mal.","72.2","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"ALL-793","Kia","Picanto","2012","188994","2024-05-29","El indicador de temperatura sube al máximo y sale vapor del capó","40.8","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"UGA-584","Nissan","Sentra","2012","227851","2024-03-21","El motor sube de RPM pero el auto apenas avanza","31.0","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"LSJ-191","Hyundai","Tucson","2017","144528","2024-06-16","Ruido metálico fuerte al encender y vibración excesiva","22.2","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"VJW-705","Nissan","Sentra","2018","147938","2024-05-03","Golpe seco y fuerte al pasar de P a D o R. Huele mal.","16.8","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"YYT-803","Hyundai","Elantra","2015","160180","2024-08-06","Marcha inestable, humo negro y alto consumo de gasolina","7.8","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"RTT-589","Nissan","March","2022","50841","2024-07-19","Al girar la llave todo se apaga y solo suena un click. Empeora en frío.","53.8","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"KAP-610","Kia","Picanto","2024","20118","2024-06-22","Batería está bien pero el motor no gira al dar arranque. Empeora en frío.","50.6","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"HFT-706","Hyundai","Accent","2020","84225","2024-11-30","El motor tiembla, pierde potencia y consume aceite de forma intermitente.","59.0","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
"KPM-341","Toyota","Hilux","2014","189695","2024-10-06","La transmisión se queda pegada en una sola velocidad. Empeora en frío.","24.3","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"PVX-504","Nissan","March","2015","148900","2024-05-16","Manchas rojas en el piso y cambios retardados. Empeora en frío.","68.0","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"RLT-489","Nissan","Sentra","2022","37521","2024-10-06","El auto da marcha pero no arranca, o se apaga en movimiento de forma intermitente.","3.7","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"KVG-816","Nissan","Versa","2010","261495","2024-09-22","El motor tiembla, pierde potencia y consume aceite de forma intermitente.","79.0","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
"EUQ-822","Kia","Rio","2012","254501","2024-03-28","El auto da marcha pero no arranca, o se apaga en movimiento. Se escucha raro.","2.1","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"AVE-192","Hyundai","Accent","2017","173616","2024-05-23","El auto se acelera solo o las RPM bajan hasta apagarse. Huele mal.","9.4","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"VVA-267","Hyundai","Creta","2020","87985","2024-06-20","Marcha inestable, humo negro y alto consumo de gasolina. Se escucha raro.","13.9","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"HBP-146","Toyota","RAV4","2022","57021","2024-07-28","El auto pierde fuerza al exigirle aceleración a fondo","0.3","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"XAZ-606","Hyundai","Elantra","2019","81210","2024-12-08","El motor sube de RPM pero el auto apenas avanza de forma intermitente.","45.0","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"NFP-339","Hyundai","Accent","2023","42754","2024-06-17","Manchas rojas en el piso y cambios retardados de forma intermitente.","41.7","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"LAK-607","Nissan","March","2014","133969","2024-08-01","El indicador de temperatura sube al máximo y sale vapor del capó. Se escucha raro.","21.7","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"NKD-784","Kia","Sportage","2019","117378","2024-10-13","Batería está bien pero el motor no gira al dar arranque","23.0","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"XCQ-768","Toyota","Yaris","2015","126150","2024-08-12","El volante vibra violentamente al frenar a alta velocidad. Huele mal.","85.4","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"GVS-498","Hyundai","Accent","2019","100290","2024-07-27","El indicador de temperatura sube al máximo y sale vapor del capó de forma intermitente.","32.1","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"MNT-467","Hyundai","Elantra","2024","16537","2025-01-01","Dificultad para arrancar justo después de cargar gasolina. Empeora en frío.","10.9","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"EAH-699","Toyota","RAV4","2018","147665","2024-04-17","Batería está bien pero el motor no gira al dar arranque","33.5","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
